import time: self [us] | cumulative | imported package
import time:      1757 |       1757 |                       numpy._typing._char_codes
import time:      1969 |       1969 |                       numpy._typing._dtype_like
import time:       621 |        621 |                       numpy._typing._nbit
import time:       444 |        444 |                       numpy._typing._scalars
import time:       409 |        409 |                       numpy._typing._ufunc
import time:       952 |       9983 |                     numpy._typing
import time:       534 |        534 |                       numpy.lib._stride_tricks_impl
import time:      1083 |       1617 |                     numpy.lib._twodim_base_impl
import time:       405 |        405 |                       numpy.lib._array_utils_impl
import time:       605 |       1010 |                     numpy.lib.array_utils
import time:       999 |        999 |                     numpy.linalg._umath_linalg
import time:      2144 |      15750 |                   numpy.linalg._linalg
import time:       637 |      16387 |                 numpy.linalg
import time:       741 |      17127 |               numpy.matrixlib.defmatrix
import time:       702 |      17828 |             numpy.matrixlib
import time:       850 |        850 |               numpy.lib._histograms_impl
import time:      2224 |       3073 |             numpy.lib._function_base_impl
import time:      1072 |      21973 |           numpy.lib._index_tricks_impl
import time:       753 |      25740 |         numpy.lib._arraypad_impl
import time:      1354 |       1354 |         numpy.lib._arraysetops_impl
import time:       456 |        456 |         numpy.lib._arrayterator_impl
import time:       934 |        934 |         numpy.lib._nanfunctions_impl
import time:       221 |        221 |                   _wmi
import time:      1230 |       1450 |                 platform
import time:       541 |       1990 |               numpy.lib._utils_impl
import time:       548 |       2538 |             numpy.lib._format_impl
import time:       613 |       3150 |           numpy.lib.format
import time:       970 |        970 |           numpy.lib._datasource
import time:      1237 |       1237 |           numpy.lib._iotools
import time:       914 |       6270 |         numpy.lib._npyio_impl
import time:       712 |        712 |             numpy.lib._ufunclike_impl
import time:       856 |       1567 |           numpy.lib._type_check_impl
import time:      1121 |       2688 |         numpy.lib._polynomial_impl
import time:       692 |        692 |         numpy.lib._shape_base_impl
import time:       443 |        443 |         numpy.lib._version
import time:       579 |        579 |         numpy.lib.introspect
import time:       862 |        862 |         numpy.lib.mixins
import time:       390 |        390 |         numpy.lib.npyio
import time:      1103 |       1103 |           numpy.lib._scimath_impl
import time:       410 |       1512 |         numpy.lib.scimath
import time:       589 |        589 |         numpy.lib.stride_tricks
import time:       990 |      43492 |       numpy.lib
import time:       424 |        424 |       numpy._array_api_info
import time:      1815 |     115117 |     numpy
import time:       392 |        392 |           __future__
import time:       437 |        828 |         codeop
import time:       418 |        418 |             copy
import time:      1342 |       1760 |           dataclasses
import time:      4948 |       6708 |         _colorize
import time:       864 |       8399 |       traceback
import time:        37 |         37 |         _string
import time:      1127 |       1163 |       string
import time:      2208 |      11768 |     logging
import time:       427 |        427 |       healpy.utils
import time:       511 |        937 |     healpy.utils.deprecation
import time:     18581 |      18581 |     healpy._healpy_pixel_lib
import time:       809 |        809 |                   email
import time:       496 |        496 |                     binascii
import time:       340 |        340 |                       importlib._abc
import time:       191 |        531 |                     importlib.util
import time:       697 |        697 |                       zlib
import time:       443 |        443 |                           compression
import time:       970 |       1413 |                         compression._common
import time:       593 |        593 |                         compression._common._streams
import time:       449 |        449 |                         _bz2
import time:       542 |       2995 |                       bz2
import time:       697 |        697 |                         _lzma
import time:       487 |       1184 |                       lzma
import time:       515 |        515 |                         _zstd
import time:       913 |        913 |                         compression.zstd._zstdfile
import time:      1357 |       2784 |                       compression.zstd
import time:      1420 |       9078 |                     shutil
import time:       537 |        537 |                       zipfile._path.glob
import time:       761 |       1297 |                     zipfile._path
import time:      1334 |      12733 |                   zipfile
import time:       598 |        598 |                   importlib.metadata._meta
import time:       447 |        447 |                   importlib.metadata._collections
import time:       351 |        351 |                   importlib.metadata._functools
import time:       289 |        289 |                   importlib.metadata._itertools
import time:       542 |        542 |                   importlib.abc
import time:      1956 |      17720 |                 importlib.metadata
import time:       223 |        223 |                   packaging
import time:        37 |        259 |                 packaging.version
import time:       650 |      18629 |               astropy.utils.introspection
import time:       499 |      19127 |             astropy.utils.codegen
import time:       656 |      19783 |           astropy.utils
import time:        35 |      19818 |         astropy.utils.system_info
import time:      1192 |      21009 |       astropy
import time:        26 |      21035 |     astropy.utils
import time:       626 |     168062 |   healpy.pixelfunc
import time:       679 |     169386 | healpy
Traceback (most recent call last):
  File "<string>", line 1, in <module>
    import healpy as hp; print(hp.__version__)
    ^^^^^^^^^^^^^^^^^^^
  File "/global/homes/t/toshiyan/.conda/envs/py_dev/lib/python3.14/site-packages/healpy/__init__.py", line 26, in <module>
    from .pixelfunc import (
    ...<36 lines>...
    )
  File "/global/homes/t/toshiyan/.conda/envs/py_dev/lib/python3.14/site-packages/healpy/pixelfunc.py", line 1632, in <module>
    @deprecated_renamed_argument("verbose", None, "1.15.0")
     ~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/global/homes/t/toshiyan/.conda/envs/py_dev/lib/python3.14/site-packages/healpy/utils/deprecation.py", line 41, in deprecated_renamed_argument
    from astropy.utils import deprecated_renamed_argument
  File "/global/homes/t/toshiyan/.conda/envs/py_dev/lib/python3.14/site-packages/astropy/__init__.py", line 13, in <module>
    from astropy.utils.system_info import system_info
  File "/global/homes/t/toshiyan/.conda/envs/py_dev/lib/python3.14/site-packages/astropy/utils/__init__.py", line 17, in <module>
    from .codegen import *
  File "/global/homes/t/toshiyan/.conda/envs/py_dev/lib/python3.14/site-packages/astropy/utils/codegen.py", line 10, in <module>
    from .introspection import find_current_module
  File "/global/homes/t/toshiyan/.conda/envs/py_dev/lib/python3.14/site-packages/astropy/utils/introspection.py", line 12, in <module>
    from packaging.version import Version
ModuleNotFoundError: No module named 'packaging'
