5.000000000000000000e+01 9.917477755704292575e-01
4.000000000000000000e+01 9.850549079823689436e-01
3.000000000000000000e+01 9.698486380874004054e-01
2.000000000000000000e+01 9.284160645418845226e-01
1.000000000000000000e+01 7.791651612792069859e-01
5.000000000000000000e+00 5.520249834041690562e-01
3.000000000000000000e+00 3.903826620653994550e-01
2.000000000000000000e+00 2.879779181859663528e-01
1.000000000000000000e+00 1.694798814036906631e-01
5.000000000000000000e-01 1.039683953062713190e-01
2.999999999999999889e-01 7.753931811845178601e-02
1.000000000000000056e-01 5.523805102805776079e-02
