     2    0.10354E+04    0.34608E-01    0.28063E+01    0.10607E+07    0.28111E+05
     3    0.98060E+03    0.47446E-01    0.32202E+01    0.16297E+07    0.33554E+05
     4    0.92778E+03    0.44234E-01    0.30866E+01    0.21349E+07    0.36102E+05
     5    0.88777E+03    0.31889E-01    0.26840E+01    0.25806E+07    0.37091E+05
     6    0.86007E+03    0.19027E-01    0.22031E+01    0.29736E+07    0.37215E+05
     7    0.84213E+03    0.10352E-01    0.17529E+01    0.33220E+07    0.36855E+05
     8    0.83095E+03    0.61904E-02    0.13864E+01    0.36319E+07    0.36215E+05
     9    0.82604E+03    0.46992E-02    0.11234E+01    0.39091E+07    0.35397E+05
    10    0.82461E+03    0.40826E-02    0.95946E+00    0.41572E+07    0.34507E+05
    11    0.82595E+03    0.35222E-02    0.88096E+00    0.43808E+07    0.33620E+05
    12    0.83055E+03    0.31126E-02    0.86662E+00    0.45819E+07    0.32741E+05
    13    0.83686E+03    0.26891E-02    0.89494E+00    0.47627E+07    0.31870E+05
    14    0.84416E+03    0.26333E-02    0.94527E+00    0.49262E+07    0.31012E+05
    15    0.85261E+03    0.28196E-02    0.10057E+01    0.50741E+07    0.30162E+05
    16    0.86239E+03    0.30228E-02    0.10686E+01    0.52076E+07    0.29317E+05
    17    0.87336E+03    0.33454E-02    0.11301E+01    0.53285E+07    0.28486E+05
    18    0.88459E+03    0.37720E-02    0.11903E+01    0.54381E+07    0.27680E+05
    19    0.89729E+03    0.43336E-02    0.12513E+01    0.55370E+07    0.26899E+05
    20    0.91014E+03    0.51066E-02    0.13134E+01    0.56259E+07    0.26144E+05
    21    0.92336E+03    0.60340E-02    0.13784E+01    0.57059E+07    0.25422E+05
    22    0.93707E+03    0.71169E-02    0.14473E+01    0.57781E+07    0.24740E+05
    23    0.95105E+03    0.83622E-02    0.15192E+01    0.58430E+07    0.24090E+05
    24    0.96541E+03    0.97462E-02    0.15922E+01    0.59010E+07    0.23465E+05
    25    0.98014E+03    0.11288E-01    0.16627E+01    0.59526E+07    0.22863E+05
    26    0.99508E+03    0.12977E-01    0.17281E+01    0.59983E+07    0.22283E+05
    27    0.10104E+04    0.14805E-01    0.17856E+01    0.60385E+07    0.21724E+05
    28    0.10260E+04    0.16790E-01    0.18337E+01    0.60740E+07    0.21184E+05
    29    0.10419E+04    0.18944E-01    0.18732E+01    0.61048E+07    0.20659E+05
    30    0.10581E+04    0.21285E-01    0.19041E+01    0.61312E+07    0.20149E+05
    31    0.10743E+04    0.23835E-01    0.19274E+01    0.61535E+07    0.19658E+05
    32    0.10908E+04    0.26601E-01    0.19437E+01    0.61722E+07    0.19190E+05
    33    0.11077E+04    0.29585E-01    0.19525E+01    0.61876E+07    0.18742E+05
    34    0.11246E+04    0.32798E-01    0.19538E+01    0.61998E+07    0.18311E+05
    35    0.11418E+04    0.36242E-01    0.19484E+01    0.62089E+07    0.17896E+05
    36    0.11592E+04    0.39922E-01    0.19362E+01    0.62152E+07    0.17497E+05
    37    0.11767E+04    0.43838E-01    0.19142E+01    0.62187E+07    0.17113E+05
    38    0.11944E+04    0.47995E-01    0.18816E+01    0.62200E+07    0.16741E+05
    39    0.12124E+04    0.52393E-01    0.18383E+01    0.62189E+07    0.16381E+05
    40    0.12305E+04    0.57034E-01    0.17839E+01    0.62158E+07    0.16032E+05
    41    0.12489E+04    0.61928E-01    0.17180E+01    0.62107E+07    0.15693E+05
    42    0.12674E+04    0.67090E-01    0.16400E+01    0.62037E+07    0.15365E+05
    43    0.12861E+04    0.72532E-01    0.15492E+01    0.61950E+07    0.15047E+05
    44    0.13047E+04    0.78254E-01    0.14460E+01    0.61847E+07    0.14739E+05
    45    0.13238E+04    0.84266E-01    0.13307E+01    0.61728E+07    0.14442E+05
    46    0.13430E+04    0.90576E-01    0.12018E+01    0.61596E+07    0.14156E+05
    47    0.13624E+04    0.97178E-01    0.10600E+01    0.61451E+07    0.13880E+05
    48    0.13818E+04    0.10407E+00    0.90944E+00    0.61293E+07    0.13613E+05
    49    0.14013E+04    0.11122E+00    0.75350E+00    0.61124E+07    0.13354E+05
    50    0.14213E+04    0.11860E+00    0.58885E+00    0.60944E+07    0.13102E+05
    51    0.14414E+04    0.12618E+00    0.41074E+00    0.60754E+07    0.12856E+05
    52    0.14620E+04    0.13403E+00    0.21445E+00    0.60554E+07    0.12618E+05
    53    0.14825E+04    0.14232E+00   -0.29051E-02    0.60346E+07    0.12386E+05
    54    0.15030E+04    0.15104E+00   -0.23624E+00    0.60130E+07    0.12161E+05
    55    0.15236E+04    0.16018E+00   -0.48035E+00    0.59906E+07    0.11943E+05
    56    0.15446E+04    0.16959E+00   -0.73630E+00    0.59675E+07    0.11732E+05
    57    0.15658E+04    0.17916E+00   -0.10040E+01    0.59438E+07    0.11529E+05
    58    0.15873E+04    0.18890E+00   -0.12842E+01    0.59195E+07    0.11331E+05
    59    0.16090E+04    0.19885E+00   -0.15778E+01    0.58947E+07    0.11139E+05
    60    0.16309E+04    0.20906E+00   -0.18841E+01    0.58694E+07    0.10953E+05
    61    0.16532E+04    0.21961E+00   -0.22024E+01    0.58435E+07    0.10771E+05
    62    0.16754E+04    0.23051E+00   -0.25337E+01    0.58173E+07    0.10594E+05
    63    0.16977E+04    0.24169E+00   -0.28788E+01    0.57906E+07    0.10421E+05
    64    0.17204E+04    0.25319E+00   -0.32390E+01    0.57635E+07    0.10253E+05
    65    0.17431E+04    0.26497E+00   -0.36149E+01    0.57361E+07    0.10088E+05
